30
113456;2.35;2.99
117689;1.49;1.89
112234;2.35;2.56
118906;3.45;4.39
112309;1.12;1.34
127856;2.35;2.99
124567;3.45;4.39
123156;1.49;1.89
128976;1.12;1.34
125609;2.35;2.56
133311;1.49;1.89
133987;2.35;2.56
131789;1.12;1.34
132456;2.35;2.99
131784;3.45;4.39
143456;2.35;2.99
147689;1.49;1.89
142234;2.35;2.56
148906;3.45;4.39
142309;1.12;1.34
159342;2.35;2.99
154567;3.45;4.39
153156;1.49;1.89
158976;1.12;1.34
155609;2.35;2.56
163311;1.49;1.89
163987;2.35;2.56
161789;1.12;1.34
162456;2.35;2.99
161784;3.45;4.39
